recId|SeqNumber|seqLength|displayLatitude|displayLongitude|district|county|city|postalCode|state|country
21192|0|0||||||||
21195|0|0||||||||
21220|0|0||||||||
21284|0|0||||||||
21293|0|0||||||||
21559|0|0||||||||
22165|0|0||||||||
22201|0|0||||||||
22220|0|0||||||||
22257|0|0||||||||
22272|0|0||||||||
22311|0|0||||||||
22322|0|0||||||||
22339|0|0||||||||
22367|0|0||||||||
22401|0|0||||||||
22428|0|0||||||||
22461|0|0||||||||
22597|0|0||||||||
22613|0|0||||||||
22940|0|0||||||||
22945|0|0||||||||
23655|0|0||||||||
23794|0|0||||||||
23823|0|0||||||||
23827|0|0||||||||
23946|0|0||||||||
23950|0|0||||||||
23988|0|0||||||||
24010|0|0||||||||
24040|0|0||||||||
24089|0|0||||||||
24094|0|0||||||||
24104|0|0||||||||
24144|0|0||||||||
24166|0|0||||||||
24169|0|0||||||||
24176|0|0||||||||
24190|0|0||||||||
24281|0|0||||||||
24304|0|0||||||||
24319|0|0||||||||
24356|0|0||||||||
24371|0|0||||||||
24385|0|0||||||||
24410|0|0||||||||
24460|0|0||||||||
24472|0|0||||||||
24478|0|0||||||||
24532|0|0||||||||
24563|0|0||||||||
24741|0|0||||||||
24981|0|0||||||||
26197|0|0||||||||
26318|0|0||||||||
26356|0|0||||||||
26357|0|0||||||||
26408|0|0||||||||
26468|0|0||||||||
26614|0|0||||||||
26627|0|0||||||||
26647|0|0||||||||
26683|0|0||||||||
26698|0|0||||||||
27582|0|0||||||||
27660|0|0||||||||
27665|0|0||||||||
27768|0|0||||||||
27835|0|0||||||||
27892|0|0||||||||
27953|0|0||||||||
28004|0|0||||||||
28052|0|0||||||||
28072|0|0||||||||
28158|0|0||||||||
28176|0|0||||||||
28178|0|0||||||||
28200|0|0||||||||
28216|0|0||||||||
28222|0|0||||||||
28232|0|0||||||||
28237|0|0||||||||
28255|0|0||||||||
28265|0|0||||||||
28268|0|0||||||||
28385|0|0||||||||
28400|0|0||||||||
28478|0|0||||||||
28688|0|0||||||||
28717|0|0||||||||
28884|0|0||||||||
28904|0|0||||||||
28941|0|0||||||||
29042|0|0||||||||
29060|0|0||||||||
29093|0|0||||||||
29374|0|0||||||||
29400|0|0||||||||
29453|0|0||||||||
29598|0|0||||||||
29638|0|0||||||||
29642|0|0||||||||
29644|0|0||||||||
29684|0|0||||||||
29821|0|0||||||||
