recId|SeqNumber|seqLength|displayLatitude|displayLongitude|district|county|city|postalCode|state|country
100807|2|2|-33.3084488|-60.2513084||San Nicolás|San Nicolás de los Arroyos|2900|Buenos Aires|ARG
101085|6|6|-31.6215096|-58.5101585||San Salvador|San Salvador|3218|Entre Rios|ARG
101409|2|2|28.0631104|-15.4288502|Salto del Negro|Las Palmas|Las Palmas de Gran Canaria|35016|Islas Canarias|ESP
103087|1|1|-35.0294304|-58.4229813||San Vicente|San Vicente|1865|Buenos Aires|ARG
110336|2|2|9.8634|-84.47619|San Francisco|Turrubares|San Luis|11604|San José|CRI
114561|1|4|18.6589794|-69.4840927||San Pedro de Macorís|San Jose de los Llanos|51204||DOM
114561|2|4|18.6163902|-69.5004501||San Pedro de Macorís|San Jose de los Llanos|51201||DOM
114561|3|4|18.5399303|-69.4841309||San Pedro de Macorís|San Jose de los Llanos|51203||DOM
114561|4|4|18.6158791|-69.5005493||San Pedro de Macorís|San Jose de los Llanos|51506||DOM
120302|1|1|36.0998497|-105.7228622||Taos|Chamisal|87521|NM|USA
122519|1|3|34.1327591|-117.5685501||San Bernardino|Rancho Cucamonga|91701|CA|USA
125554|1|1|36.69932|-106.55105||Rio Arriba|Tierra Amarilla|87575|NM|USA
132532|1|1|35.88969|-106.08144|El Rancho|Santa Fe|Santa Fe|87506|NM|USA
132538|1|1|35.25751|-105.31834|El Cerrito|San Miguel|Ribera|87560|NM|USA
137026|1|1|-31.3808308|-64.1572952||Córdoba|Córdoba|5000|Córdoba|ARG
142457|1|1|20.27734|-77.13523|San Francisco|Granma|Manzanillo|||CUB
142911|2|2|41.6488991|-4.7174001|Circular|Valladolid|Valladolid|47005|Castilla y León|ESP
142922|2|2|41.65271|-4.7281499|Plaza Mayor|Valladolid|Valladolid|47001|Castilla y León|ESP
144606|1|1|-33.1428909|-71.5689316|Curauma|Valparaíso|Valparaíso|2340000|Valparaíso|CHL
